data	label
@USER She is not leaving BB	NOT
@USER @USER Ford and the conservatives hates the displays of democratic freedoms hence their attacks on the Canadian charter of rights and freedoms and their hate for minorities constitutional rights #conservativesattackondemocracy in #canada #theCPCisapoliticalhategroup	NOT
@USER God is good to us 🙏👍	NOT
@USER woman accusing Supreme Court nominee #Kavanaugh of physical and sexual assault should not be ignored or insulted,WhiteHouse senior counselor @USER says:BECAUSE A RAPIST &amp;ATEMPTED MURDERER Can’t GO FREE Because He Was 17yrs ,DRUNK &amp; WANTED IT❗️#tcot #pjnet #maga URL	NOT
@USER CORRECTION: The Liberals won a false-majority on the backs of a lot of close races – emphasis on “false.” #ElectoralReform	NOT
@USER @USER Seemed bona fide to me when I did a quick check before using it (after nicking it from a tweet I saw). For instance; URL	NOT
Adulting is knowing who fucked cut off in your future plans.....	OFF
@USER She's sexy as hell and tough too👍👍👍👍	NOT
@USER @USER We need gun control! Lol	NOT
*shuving tide pods in mouth* need more gun control nomnom nom nom	NOT
@USER White Nationalist and Nazis arent the same. Also at this point I'd prefer nazis tbh	NOT
"Susan Collins: 'Puzzling' Why Kavanaugh Allegation Came So Late""  URL #TCOT #MAGA #RedNationRising"""	NOT
@USER @USER Issss nigga fall asleep on soft after this	NOT
4. Omg so many of you are funny...how can I choose? I have to mention  @USER . She is one of the newest peeps I've had the pleasure to speak to on Twitter lately. Her tweets constantly make me laugh and makes my day better.	NOT
@USER  hey Taravat are you interested to meet with an immigration lawyer please let me know he will help you out to get your citizenship to get your canadien citizenshop he is one of the best of the best lawyer ever....	NOT
@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!	NOT
@USER Yeahh tbh most that do are weirdos and think about sex in a very weird way.	OFF
@USER  god I don’t know how Your didn’t punch Carole at the reunion. She is a smug asshole. I know you are dealing with a lot. I hope you are well.	OFF
"@USER @USER @USER @USER Evidence against Manafort was substantial and beyond reasonable doubt"" on 8 counts. He was found guilty in court, any other spin is useless. This is how our system works. If Manafort had problems with verdicts he can appeal them, he is not."""	NOT
@USER @USER If he is cutting it... no man bun man..	NOT
